Name,Status
1 (basics),Done
2 (text manipulation),Done
3(analyzing and managing networks),Done
4(adding and removing software),Done
5(managing file and directory permissions),Done
6(managing processes),Done
7(managing user and environment variables),Done
9(compressing and archivin),Done
8(BASH scripting),Done
8(BASH scripting) —2,Done
8(BASH scripting)—3,Done
bash practise,Not started
systemD,Done
"logging ",Done
ssh,Done
13(security and anonimity),Done
14(wireless cracks),In progress
15(kernals and kernal modules).,Done
16(job scheduling),Not started
